Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,subject
Parliament_of_the_United_Kingdom,Parliament_of_the_United_Kingdom,,63,51,114,63,51,114,7,0.330211,0.357986,16844.224543,0,1,6,0.10337,7
Scots_language,Scots_language,,27,32,59,27,32,59,7,0.325779,0.350039,16648.550426,0,1,6,0.13136,3
Scottish_Episcopal_Church,Scottish_Episcopal_Church,,11,12,23,11,12,23,7,0.29667,0.314762,240.776948,0,1,6,0.326797,14
Scottish_Gaelic_language,Scottish_Gaelic_language,,25,21,46,25,21,46,7,0.316719,0.338925,2375.757757,0,1,6,0.148664,3
Shetland,Shetland,,15,22,37,15,22,37,7,0.314629,0.335888,5768.369528,0,1,6,0.196573,5
Aberration_of_light,Aberration_of_light,,1,17,18,1,17,18,7,0.307587,0.325578,47.858981,7,1,6,0.327206,12
Galaxy,Galaxy,,34,24,58,34,24,58,8,0.298703,0.317946,5397.543777,7,1,6,0.158937,12
John_Flamsteed,John_Flamsteed,,7,8,15,7,8,15,7,0.296757,0.313566,217.037691,7,1,6,0.236364,11
Tycho_Brahe,Tycho_Brahe,,16,37,53,16,37,53,7,0.331101,0.355726,3636.652074,7,1,6,0.133816,11
Aberystwyth,Aberystwyth,,4,12,16,4,12,16,7,0.311033,0.331689,262.870415,0,1,6,0.180952,5
Birmingham,Birmingham,,55,81,136,55,81,136,6,0.361351,0.392884,40521.879049,0,1,6,0.069535,5
Cardiff,Cardiff,,24,31,55,24,31,55,7,0.327649,0.351629,5152.827914,0,1,6,0.107843,5
Edward_I_of_England,Edward_I_of_England,,31,22,53,31,22,53,7,0.317836,0.339361,2867.03693,0,1,6,0.123724,11
River,River,,91,98,189,91,98,189,6,0.365785,0.399778,86502.192381,7,1,6,0.061,5
Abhidhamma_Pitaka,Abhidhamma_Pitaka,,2,5,7,2,5,7,8,0.262276,0.274922,251.640763,8,1,6,0.35,14
Pali_Canon,Pali_Canon,,8,2,10,8,2,10,8,0.258595,0.269531,76.763551,8,1,6,0.361111,14
Sanskrit,Sanskrit,,100,32,132,100,32,132,7,0.319615,0.342674,12866.57621,8,1,6,0.057399,3
University_of_Bristol,University_of_Bristol,,9,26,35,9,26,35,7,0.32557,0.348599,3518.671956,0,1,6,0.137931,7
Abidjan,Abidjan,,8,22,30,8,22,30,7,0.314996,0.336271,2209.116073,5,1,6,0.155797,5
Accra,Accra,,7,13,20,7,13,20,7,0.308195,0.328388,310.811713,5,1,6,0.202614,5
Bridge,Bridge,,32,62,94,32,62,94,6,0.361803,0.391564,32095.349488,10,1,6,0.095696,8
Dakar,Dakar,,13,21,34,13,21,34,6,0.321313,0.343554,2311.96164,5,1,6,0.172365,5
Liberia,Liberia,,61,21,82,61,21,82,7,0.326146,0.349747,2908.113981,5,1,6,0.252917,9
Mali,Mali,,74,26,100,74,26,100,7,0.313437,0.335431,4842.348828,5,1,6,0.253081,9
Ouagadougou,Ouagadougou,,4,19,23,4,19,23,7,0.304194,0.323864,378.490726,5,1,6,0.188095,5
Rainforest,Rainforest,,45,31,76,45,31,76,7,0.33851,0.363051,11771.017302,2,1,6,0.068116,7
Train,Train,,37,47,84,37,47,84,6,0.354898,0.38268,43731.887856,3,1,6,0.107108,8
University,University,,77,32,109,77,32,109,7,0.33186,0.356876,16795.441452,9,1,6,0.070534,7
Yamoussoukro,Yamoussoukro,,4,5,9,4,5,9,7,0.283081,0.298166,666.667932,5,1,6,0.333333,5
Abkhazia,Abkhazia,,12,31,43,12,31,43,7,0.327437,0.351884,827.211798,10,1,6,0.151282,9
Budapest,Budapest,,47,49,96,47,49,96,6,0.342312,0.370601,21247.196751,10,1,6,0.138267,5
Encyclop%C3%A6dia_Britannica,Encyclop%C3%A6dia_Britannica,,12,34,46,12,34,46,7,0.337327,0.362196,6636.84745,0,1,6,0.086869,3
Government,Government,,128,28,156,128,28,156,7,0.311822,0.332781,17394.863715,9,1,6,0.04431,7
International_law,International_law,,23,13,36,23,13,36,7,0.298308,0.317959,1507.103736,9,1,6,0.089127,7
Istanbul,Istanbul,,58,103,161,58,103,161,7,0.361255,0.39601,18827.24741,1,1,6,0.128275,5
NATO,NATO,,90,96,186,90,96,186,6,0.356364,0.390376,32491.811375,10,1,6,0.154833,7
Wine,Wine,,58,68,126,58,68,126,7,0.357464,0.388347,33026.288792,11,1,6,0.085934,4
Able_Archer_83,Able_Archer_83,,1,14,15,1,14,15,7,0.31826,0.339309,13.523577,10,1,6,0.351648,0
Elizabeth_II_of_the_United_Kingdom,Elizabeth_II_of_the_United_Kingdom,,131,100,231,131,100,231,7,0.363262,0.397462,74751.695023,0,1,6,0.060623,11
Greenland,Greenland,,69,40,109,69,40,109,7,0.340015,0.366435,11334.446573,10,1,6,0.085666,5
Invasion_of_Grenada,Invasion_of_Grenada,,5,24,29,5,24,29,7,0.321465,0.344156,256.366467,5,1,6,0.190769,0
Margaret_Thatcher,Margaret_Thatcher,,38,72,110,38,72,110,6,0.361351,0.392949,12570.797691,0,1,6,0.110959,11
Mikhail_Gorbachev,Mikhail_Gorbachev,,37,48,85,37,48,85,6,0.341908,0.368936,4837.945814,10,1,6,0.167909,11
Ronald_Reagan,Ronald_Reagan,,69,89,158,69,89,158,6,0.356835,0.38985,34603.309746,3,1,6,0.073577,11
Abraham_Goldfaden,Abraham_Goldfaden,,0,24,24,0,24,24,7,0.32505,0.348625,0,10,1,25,0.235507,11
Asthma,Asthma,,30,13,43,30,13,43,7,0.291215,0.307642,1892.995553,11,1,6,0.026316,12
Bucharest,Bucharest,,18,43,61,18,43,61,7,0.331914,0.357661,9274.218585,10,1,6,0.144444,5
George_Eliot,George_Eliot,,10,14,24,10,14,24,7,0.321899,0.34303,972.577393,0,1,6,0.135714,11
Moscow,Moscow,,127,62,189,127,62,189,7,0.347774,0.377177,48112.939758,10,1,6,0.073443,5
Warsaw,Warsaw,,52,56,108,52,56,108,6,0.348102,0.376579,13759.563988,10,1,6,0.115596,5
Aircraft_carrier,Aircraft_carrier,,24,39,63,24,39,63,6,0.337946,0.364722,2245.025419,10,1,6,0.164787,8
Andrew_Johnson,Andrew_Johnson,,16,8,24,16,8,24,7,0.270537,0.284492,197.658906,3,1,6,0.261438,11
Battle_of_Gettysburg,Battle_of_Gettysburg,,12,8,20,12,8,20,7,0.297804,0.315329,812.799592,3,1,6,0.266667,0
Charles_Sumner,Charles_Sumner,,5,13,18,5,13,18,7,0.309418,0.328312,490.213379,3,1,6,0.195238,11
Chicago,Chicago,,164,34,198,164,34,198,7,0.333635,0.358858,31730.033692,3,1,6,0.040221,5
Frederick_Douglass,Frederick_Douglass,,6,27,33,6,27,33,7,0.324762,0.349073,1442.054057,3,1,6,0.195402,11
Gettysburg_Address,Gettysburg_Address,,6,22,28,6,22,28,7,0.31714,0.337463,637.018279,3,1,6,0.217391,0
James_Buchanan,James_Buchanan,,12,22,34,12,22,34,7,0.324294,0.345067,649.327414,3,1,6,0.188506,11
James_K._Polk,James_K._Polk,,16,25,41,16,25,41,7,0.31199,0.332265,1563.861446,3,1,6,0.173563,11
Lyndon_B._Johnson,Lyndon_B._Johnson,,23,27,50,23,27,50,7,0.316472,0.338025,3481.127573,3,1,6,0.120732,11
Supreme_Court_of_the_United_States,Supreme_Court_of_the_United_States,,65,26,91,65,26,91,7,0.307494,0.329095,8472.030997,3,1,6,0.11705,7
Tijuana,Tijuana,,7,14,21,7,14,21,7,0.317761,0.338113,647.066238,3,1,6,0.157895,5
United_States_House_of_Representatives,United_States_House_of_Representatives,,64,27,91,64,27,91,7,0.304652,0.324076,5641.310125,3,1,6,0.094035,7
William_Tecumseh_Sherman,William_Tecumseh_Sherman,,6,32,38,6,32,38,7,0.326751,0.34999,582.34136,3,1,6,0.168449,11
Zachary_Taylor,Zachary_Taylor,,14,18,32,14,18,32,7,0.310318,0.329418,2188.912904,3,1,6,0.212308,11
Angelica,Angelica,,2,6,8,2,6,8,8,0.278148,0.292121,37.710484,11,1,6,0.232143,12
Antimony,Antimony,,20,28,48,20,28,48,7,0.314239,0.335684,1084.517406,7,1,6,0.203104,12
Common_sage,Common_sage,,15,13,28,15,13,28,7,0.299763,0.318175,323.218966,11,1,6,0.220798,12
Copper,Copper,,156,67,223,156,67,223,7,0.352369,0.382906,76234.591723,7,1,6,0.058945,12
Coriander,Coriander,,13,36,49,13,36,49,7,0.340529,0.368147,1465.865307,11,1,6,0.179078,12
Czech_Republic,Czech_Republic,,105,34,139,105,34,139,7,0.31964,0.344808,5621.340754,10,1,6,0.125419,5
Distilled_beverage,Distilled_beverage,,7,18,25,7,18,25,7,0.323466,0.344175,883.434472,11,1,6,0.163043,4
Ernest_Hemingway,Ernest_Hemingway,,22,42,64,22,42,64,7,0.347625,0.374377,12915.78517,3,1,6,0.093164,11
Essential_oil,Essential_oil,,20,23,43,20,23,43,7,0.302086,0.321231,4945.06642,11,1,6,0.139929,12
Fennel,Fennel,,17,63,80,17,63,80,7,0.338313,0.366704,7791.462078,11,1,6,0.134004,12
Lemon_balm,Lemon_balm,,4,11,15,4,11,15,7,0.298022,0.314316,172.624394,2,1,6,0.198718,12
Nutmeg,Nutmeg,,17,31,48,17,31,48,7,0.333498,0.358122,3933.114216,11,1,6,0.178295,4
Pablo_Picasso,Pablo_Picasso,,31,18,49,31,18,49,7,0.310509,0.331879,2566.184238,4,1,6,0.143438,11
Prague,Prague,,59,45,104,59,45,104,7,0.337777,0.364367,12109.109552,10,1,6,0.10593,5
Star_anise,Star_anise,,13,9,22,13,9,22,7,0.296866,0.313139,388.029531,11,1,6,0.287879,12
Sugar,Sugar,,80,53,133,80,53,133,7,0.346496,0.375874,20982.084168,11,1,6,0.076681,4
Vanuatu,Vanuatu,,37,28,65,37,28,65,7,0.332404,0.35662,2389.58983,5,1,6,0.212719,5
Absolute_zero,Absolute_zero,,9,16,25,9,16,25,7,0.304812,0.322863,1679.681804,7,1,6,0.17316,12
Carbon,Carbon,,103,72,175,103,72,175,6,0.355926,0.386737,48936.95725,7,1,6,0.08753,12
Crystal,Crystal,,60,12,72,60,12,72,7,0.293555,0.309778,4271.72776,7,1,6,0.069712,12
Diamond,Diamond,,68,72,140,68,72,140,6,0.364798,0.395338,48353.682953,7,1,6,0.064844,5
Empiricism,Empiricism,,26,17,43,26,17,43,7,0.302131,0.319562,1310.425226,9,1,6,0.152916,14
Entropy,Entropy,,22,17,39,22,17,39,7,0.299277,0.316479,6571.882593,7,1,6,0.121849,12
Max_Planck,Max_Planck,,15,18,33,15,18,33,7,0.313171,0.333949,2312.024915,7,1,6,0.170635,11
Robert_Boyle,Robert_Boyle,,19,28,47,19,28,47,7,0.327517,0.350879,3556.377208,7,1,6,0.120209,11
Symmetry,Symmetry,,23,51,74,23,51,74,7,0.342746,0.369399,15971.998372,7,1,6,0.059759,6
Thermodynamic_temperature,Thermodynamic_temperature,,2,28,30,2,28,30,6,0.32254,0.344063,244.129536,7,1,6,0.21164,12
Thermodynamics,Thermodynamics,,23,19,42,23,19,42,7,0.307751,0.327022,3019.061088,7,1,6,0.15121,12
William_Thomson%2C_1st_Baron_Kelvin,William_Thomson%2C_1st_Baron_Kelvin,,7,51,58,7,51,58,7,0.350026,0.377307,3415.578021,7,1,6,0.094949,11
Abstract_art,Abstract_art,,13,6,19,13,6,19,7,0.282332,0.29647,411.297929,4,1,6,0.183007,13
Calligraphy,Calligraphy,,15,34,49,15,34,49,7,0.317811,0.340656,10513.77749,8,1,6,0.080481,13
Constructivism_%28art%29,Constructivism_%28art%29,,9,13,22,9,13,22,7,0.30256,0.321295,6634.17326,10,1,6,0.173684,13
Fine_art,Fine_art,,10,12,22,10,12,22,7,0.290193,0.306186,1911.879739,4,1,6,0.179654,13
Abu_Dhabi,Abu_Dhabi,,8,23,31,8,23,31,7,0.325231,0.347501,1184.444727,8,1,6,0.200739,5
Arecaceae,Arecaceae,,10,43,53,10,43,53,7,0.34093,0.36804,3148.67987,1,1,6,0.090204,12
Camel,Camel,,25,31,56,25,31,56,7,0.333279,0.35878,3357.756409,5,1,6,0.11727,12
Dubai,Dubai,,24,45,69,24,45,69,7,0.343822,0.370423,3428.1433,1,1,6,0.137054,5
Emirate,Emirate,,9,7,16,9,7,16,7,0.278319,0.293325,124.432836,5,1,6,0.28022,7
Gazelle,Gazelle,,10,10,20,10,10,20,7,0.298417,0.317005,853.015514,2,1,6,0.180147,12
Oman,Oman,,53,24,77,53,24,77,7,0.320044,0.342821,2522.1664,5,1,6,0.254902,5
Pearl,Pearl,,18,9,27,18,9,27,7,0.299078,0.316045,594.679634,8,1,6,0.093846,4
Abuja,Abuja,,8,5,13,8,5,13,7,0.279837,0.293366,152.676431,5,1,6,0.309091,5
Bras%C3%ADlia,Bras%C3%ADlia,,8,8,16,8,8,16,7,0.296107,0.312558,119.996718,6,1,6,0.212121,5
Lagos,Lagos,,7,13,20,7,13,20,7,0.312688,0.333071,455.645292,5,1,6,0.183007,5
Acceleration,Acceleration,,20,7,27,20,7,27,7,0.295481,0.311671,668.107416,7,1,6,0.147692,12
Light,Light,,74,55,129,74,55,129,7,0.323776,0.348572,38634.692953,7,1,6,0.068002,12
Sea,Sea,,39,24,63,39,24,63,7,0.310699,0.330389,6786.741091,7,1,6,0.059933,5
Special_relativity,Special_relativity,,32,14,46,32,14,46,7,0.291487,0.308446,1578.17023,7,1,6,0.188934,12
Accountancy,Accountancy,,6,15,21,6,15,21,7,0.320576,0.342695,999.285278,1,1,6,0.152381,10
Ancient_Greece,Ancient_Greece,,163,65,228,163,65,228,7,0.34185,0.371798,103520.849197,1,1,6,0.049642,0
Beach,Beach,,30,22,52,30,22,52,7,0.320576,0.341599,7862.623412,5,1,6,0.037677,5
Clothing,Clothing,,27,32,59,27,32,59,7,0.334626,0.359621,7884.694595,13,1,6,0.065657,4
Acetic_acid,Acetic_acid,,16,59,75,16,59,75,7,0.342514,0.370018,11648.490647,7,1,6,0.115625,12
Acetone,Acetone,,14,9,23,14,9,23,7,0.29628,0.313578,1092.492802,7,1,6,0.181818,12
Actinium,Actinium,,10,16,26,10,16,26,7,0.288315,0.305336,53.614981,7,1,6,0.415205,12
BP,BP,,9,25,34,9,25,34,7,0.329593,0.352134,862.290348,7,1,6,0.119318,10
Box_jellyfish,Box_jellyfish,,1,10,11,1,10,11,7,0.291991,0.308051,32.415068,2,1,6,0.055556,12
Chemical_element,Chemical_element,,138,34,172,138,34,172,7,0.314727,0.337402,18063.14433,7,1,6,0.116344,12
Cider,Cider,,9,29,38,9,29,38,6,0.342283,0.36767,1525.59091,0,1,6,0.177177,4
Cobalt,Cobalt,,27,40,67,27,40,67,7,0.329728,0.356457,5319.549552,7,1,6,0.125424,12
Corrosion,Corrosion,,39,33,72,39,33,72,7,0.3089,0.33043,4201.099379,7,1,6,0.126442,8
Food,Food,,63,41,104,63,41,104,7,0.332759,0.357941,20568.218365,11,1,6,0.046073,4
Formic_acid,Formic_acid,,6,23,29,6,23,29,7,0.318535,0.339225,1824.251633,7,1,6,0.186154,12
Iodine,Iodine,,30,39,69,30,39,69,7,0.310413,0.332769,5441.193649,7,1,6,0.133696,12
Iridium,Iridium,,19,35,54,19,35,54,7,0.331833,0.356381,7509.261102,7,1,6,0.155052,12
Iron%28III%29_chloride,Iron%28III%29_chloride,,7,13,20,7,13,20,7,0.282824,0.298633,117.334623,7,1,6,0.287582,12
Magnesium,Magnesium,,76,42,118,76,42,118,7,0.322053,0.345727,12985.194695,7,1,6,0.115337,12
Manganese,Manganese,,38,28,66,38,28,66,7,0.304035,0.325116,4495.076428,7,1,6,0.163534,12
Oxygen,Oxygen,,205,30,235,205,30,235,7,0.319439,0.342323,42115.199388,7,1,6,0.058484,12
Phase_%28matter%29,Phase_%28matter%29,,157,23,180,157,23,180,7,0.303761,0.323479,18496.467962,7,1,6,0.076758,12
Pigment,Pigment,,27,28,55,27,28,55,7,0.331155,0.355041,9903.355421,7,1,6,0.059955,12
Rhodium,Rhodium,,13,34,47,13,34,47,7,0.319137,0.341608,10376.568213,7,1,6,0.243243,12
Ruthenium,Ruthenium,,12,25,37,12,25,37,7,0.306494,0.326827,813.028034,7,1,6,0.289655,12
Soil,Soil,,70,38,108,70,38,108,7,0.317986,0.341119,27544.827352,7,1,6,0.054553,5
Sulfur,Sulfur,,71,83,154,71,83,154,7,0.362191,0.393671,35543.773917,7,1,6,0.102012,12
Sulfuric_acid,Sulfuric_acid,,44,44,88,44,44,88,6,0.337383,0.362099,10873.340553,7,1,6,0.128044,12
Toluene,Toluene,,5,9,14,5,9,14,7,0.279548,0.294357,211.913221,7,1,6,0.212121,12
Yeast,Yeast,,22,42,64,22,42,64,7,0.333251,0.358734,9074.501118,11,1,6,0.117647,12
Bromine,Bromine,,19,29,48,19,29,48,7,0.323157,0.346675,2929.980098,7,1,6,0.185633,12
Chlorine,Chlorine,,65,41,106,65,41,106,7,0.322976,0.34813,16696.179061,7,1,6,0.101832,12
Achilles,Achilles,,14,23,37,14,23,37,7,0.307471,0.329176,2311.543704,1,1,6,0.188034,0
Agamemnon,Agamemnon,,9,11,20,9,11,20,7,0.295567,0.312699,435.861949,1,1,6,0.280952,11
Alexander_the_Great,Alexander_the_Great,,78,56,134,78,56,134,7,0.340215,0.369284,16717.270572,1,1,6,0.084314,11
Apollo,Apollo,,29,24,53,29,24,53,7,0.30424,0.322555,9322.46492,1,1,6,0.081313,14
Athena,Athena,,24,17,41,24,17,41,7,0.307868,0.328364,7056.163906,1,1,6,0.154356,14
Bob_Dylan,Bob_Dylan,,33,44,77,33,44,77,6,0.339275,0.36582,10169.958177,4,1,6,0.082051,11
Heracles,Heracles,,20,15,35,20,15,35,7,0.294216,0.311535,2467.068646,1,1,6,0.155172,0
Homer,Homer,,56,23,79,56,23,79,7,0.310295,0.331285,7280.917047,1,1,6,0.092656,11
Odysseus,Odysseus,,16,30,46,16,30,46,7,0.307774,0.328452,4276.525992,1,1,6,0.174242,0
Odyssey,Odyssey,,25,14,39,25,14,39,7,0.292961,0.310701,1457.806663,1,1,6,0.193103,0
Trojan_War,Trojan_War,,20,41,61,20,41,61,7,0.319565,0.34355,5337.191019,1,1,6,0.11463,0
Achilles_tendon,Achilles_tendon,,0,2,2,0,2,2,8,0.253295,0.264218,0,1,1,26,0,12
Acid_rain,Acid_rain,,14,28,42,14,28,42,7,0.323569,0.345891,2952.251234,7,1,6,0.113087,5
Biology,Biology,,85,52,137,85,52,137,7,0.334433,0.360784,44323.355639,9,1,6,0.074719,12
Fossil_fuel,Fossil_fuel,,33,10,43,33,10,43,7,0.289696,0.305157,1208.146685,7,1,6,0.097598,12
Gypsum,Gypsum,,23,17,40,23,17,40,7,0.334406,0.356486,4891.438924,7,1,6,0.084127,5
Hydrogen_peroxide,Hydrogen_peroxide,,9,16,25,9,16,25,7,0.289841,0.306839,669.623512,7,1,6,0.211462,12
Invasive_species,Invasive_species,,20,20,40,20,20,40,7,0.324632,0.346498,12428.74691,2,1,6,0.090327,7
Kyoto_Protocol,Kyoto_Protocol,,12,42,54,12,42,54,7,0.338397,0.364246,1852.530639,3,1,6,0.115294,7
Ozone_depletion,Ozone_depletion,,12,17,29,12,17,29,7,0.306958,0.324917,1181.367372,7,1,6,0.150362,7
Smog,Smog,,17,22,39,17,22,39,7,0.319842,0.341281,2029.975404,8,1,6,0.076984,7
Acorn_Computers,Acorn_Computers,,1,23,24,1,23,24,7,0.312279,0.333011,362.987473,0,1,6,0.136364,1
Cambridge,Cambridge,,36,38,74,36,38,74,7,0.329005,0.354105,16979.446931,0,1,6,0.080733,5
Commodore_64,Commodore_64,,13,13,26,13,13,26,7,0.319414,0.339367,1427.520885,13,1,6,0.106667,1
Floppy_disk,Floppy_disk,,14,15,29,14,15,29,7,0.298154,0.314834,5396.101574,13,1,6,0.076667,1
Nottingham,Nottingham,,17,62,79,17,62,79,7,0.348072,0.378119,6531.672477,0,1,6,0.097793,5
Pound_sterling,Pound_sterling,,66,40,106,66,40,106,7,0.340472,0.367771,14693.131321,0,1,6,0.067655,10
The_Fens,The_Fens,,3,18,21,3,18,21,7,0.317165,0.337346,1046.068293,0,1,6,0.118421,5
Unix,Unix,,28,14,42,28,14,42,8,0.275932,0.289994,21405.421705,13,1,6,0.109626,1
Video,Video,,12,11,23,12,11,23,7,0.304103,0.321453,899.839007,13,1,6,0.152381,7
World_Wide_Web,World_Wide_Web,,21,20,41,21,20,41,7,0.308336,0.326954,21826.240771,13,1,6,0.064011,1
ZX_Spectrum,ZX_Spectrum,,13,13,26,13,13,26,7,0.303466,0.321819,5462.072879,13,1,6,0.100791,1
Bismuth,Bismuth,,23,37,60,23,37,60,7,0.326278,0.350712,4682.718666,7,1,6,0.174585,12
Color,Color,,157,19,176,157,19,176,7,0.31058,0.329891,34209.070563,7,1,6,0.061956,12
Francium,Francium,,10,34,44,10,34,44,7,0.326514,0.349429,939.859817,7,1,6,0.233333,12
Lanthanum,Lanthanum,,14,28,42,14,28,42,7,0.300363,0.320382,457.349034,7,1,6,0.284921,12
List_of_elements_by_name,List_of_elements_by_name,,120,119,239,120,119,239,7,0.314337,0.344858,90784.924722,7,1,6,0.117717,12
Magnetism,Magnetism,,126,37,163,126,37,163,7,0.303352,0.324394,22010.566937,7,1,6,0.092816,12
Periodic_table,Periodic_table,,110,134,244,110,134,244,7,0.329674,0.364125,85587.54684,7,1,6,0.116788,12
Plutonium,Plutonium,,37,41,78,37,41,78,7,0.334682,0.359351,13109.816416,7,1,6,0.140559,12
Radium,Radium,,21,38,59,21,38,59,7,0.324242,0.348494,3530.86621,7,1,6,0.198554,12
Radon,Radon,,41,36,77,41,36,77,7,0.331914,0.356426,10365.60941,7,1,6,0.145585,12
Thorium,Thorium,,28,31,59,28,31,59,7,0.312351,0.333961,6195.893354,7,1,6,0.173895,12
Uranium,Uranium,,69,51,120,69,51,120,7,0.338737,0.365847,27659.871078,7,1,6,0.113187,12
Action_potential,Action_potential,,11,12,23,11,12,23,8,0.285232,0.300433,1927.383734,11,1,6,0.1,12
Calcium,Calcium,,83,42,125,83,42,125,7,0.337636,0.362048,23424.805318,7,1,6,0.103169,12
Capacitance,Capacitance,,15,13,28,15,13,28,8,0.263984,0.278448,559.753586,7,1,6,0.323684,12
Cell_%28biology%29,Cell_%28biology%29,,54,24,78,54,24,78,7,0.305225,0.324253,10887.914207,11,1,6,0.104087,12
Chemical_synapse,Chemical_synapse,,5,3,8,5,3,8,8,0.248407,0.258848,187.966864,11,1,6,0.214286,12
Electrical_resistance,Electrical_resistance,,26,8,34,26,8,34,8,0.261195,0.27569,1870.31227,7,1,6,0.201075,12
Giraffe,Giraffe,,18,30,48,18,30,48,7,0.312206,0.334993,5235.264866,5,1,6,0.178788,12
Multiple_sclerosis,Multiple_sclerosis,,10,36,46,10,36,46,7,0.341994,0.367763,5564.246141,11,1,6,0.083056,12
Potassium,Potassium,,71,49,120,71,49,120,7,0.331941,0.358772,23662.152944,7,1,6,0.092376,12
Sodium,Sodium,,64,38,102,64,38,102,7,0.322514,0.346763,10816.760089,7,1,6,0.134065,12
Volt,Volt,,23,5,28,23,5,28,7,0.280904,0.294507,4421.984891,7,1,6,0.098291,12
Whale,Whale,,34,34,68,34,34,68,7,0.340386,0.364872,25191.280215,2,1,6,0.072173,12
Actor,Actor,,42,13,55,42,13,55,7,0.300452,0.317864,7123.805991,13,1,6,0.042232,3
Drama,Drama,,37,14,51,37,14,51,7,0.307447,0.326391,3482.557252,13,1,6,0.061633,3
H%C3%A4nsel_und_Gretel,H%C3%A4nsel_und_Gretel,,1,7,8,1,7,8,7,0.287599,0.303853,47.622066,4,1,6,0.107143,3
The_Marriage_of_Figaro,The_Marriage_of_Figaro,,5,4,9,5,4,9,8,0.262497,0.275413,205.007102,4,1,6,0.4,3
The_Simpsons,The_Simpsons,,48,33,81,48,33,81,6,0.342978,0.367444,17462.113569,13,1,6,0.053657,4
Acts_of_Union_1707,Acts_of_Union_1707,,20,7,27,20,7,27,7,0.297345,0.314295,242.154557,0,1,6,0.272727,0
House_of_Lords,House_of_Lords,,62,25,87,62,25,87,7,0.305801,0.32711,5614.279877,0,1,6,0.121005,7
Laws_in_Wales_Acts_1535%E2%80%931542,Laws_in_Wales_Acts_1535%E2%80%931542,,10,10,20,10,10,20,7,0.295266,0.312632,1376.88873,0,1,6,0.338095,7
Actuary,Actuary,,0,32,32,0,32,32,7,0.338142,0.363274,0,9,1,27,0.159274,10
Ancient_Rome,Ancient_Rome,,181,88,269,181,88,269,7,0.357244,0.390019,112240.315024,1,1,6,0.042249,0
Business,Business,,44,18,62,44,18,62,7,0.313365,0.333475,5397.786738,9,1,6,0.058681,10
Climate_change,Climate_change,,48,31,79,48,31,79,7,0.332159,0.355337,15485.306981,7,1,6,0.077477,5
Law,Law,,86,98,184,86,98,184,7,0.356333,0.391778,50301.986157,9,1,6,0.066297,7
Mathematics,Mathematics,,151,63,214,151,63,214,7,0.330426,0.358297,103406.81219,9,1,6,0.041124,6
Probability_theory,Probability_theory,,7,7,14,7,7,14,8,0.278186,0.293714,224.047083,9,1,6,0.227273,6
The_Wall_Street_Journal,The_Wall_Street_Journal,,20,11,31,20,11,31,7,0.306749,0.325329,903.167907,3,1,6,0.093596,7
Ethics,Ethics,,56,20,76,56,20,76,7,0.301951,0.321443,8112.047995,9,1,6,0.096974,14
John_Maynard_Keynes,John_Maynard_Keynes,,20,23,43,20,23,43,7,0.323363,0.345939,3756.47484,9,1,6,0.181513,10
Liberal_democracy,Liberal_democracy,,25,54,79,25,54,79,7,0.344787,0.373995,6303.688055,9,1,6,0.160008,7
Liberalism,Liberalism,,39,101,140,39,101,140,7,0.362191,0.396574,18194.314461,9,1,6,0.120312,7
Libertarianism,Libertarianism,,21,26,47,21,26,47,7,0.325492,0.348054,2212.457879,9,1,6,0.172436,7
Logic,Logic,,41,22,63,41,22,63,7,0.304973,0.324756,6196.244129,9,1,6,0.106397,14
Mercantilism,Mercantilism,,17,16,33,17,16,33,7,0.310651,0.329949,1013.498162,9,1,6,0.103448,7
Political_economy,Political_economy,,24,19,43,24,19,43,7,0.303966,0.323186,1475.370053,9,1,6,0.159664,7
Political_philosophy,Political_philosophy,,32,68,100,32,68,100,7,0.341562,0.370184,6123.323099,9,1,6,0.116531,14
Thomas_Malthus,Thomas_Malthus,,12,28,40,12,28,40,7,0.338228,0.361847,2953.778075,9,1,6,0.09879,11
Utilitarianism,Utilitarianism,,22,7,29,22,7,29,7,0.285634,0.301311,614.953536,9,1,6,0.166154,14
Addis_Ababa,Addis_Ababa,,11,8,19,11,8,19,7,0.299144,0.317527,184.587579,5,1,6,0.132353,5
Djibouti,Djibouti,,50,155,205,50,155,205,7,0.360292,0.399044,3873.720984,5,1,6,0.207834,9
Adelaide,Adelaide,,18,22,40,18,22,40,7,0.319112,0.339474,7571.452498,12,1,6,0.096825,5
Airbus_A380,Airbus_A380,,11,41,52,11,41,52,7,0.340215,0.366858,4746.204375,12,1,6,0.133333,8
Australian_English,Australian_English,,9,18,27,9,18,27,7,0.326173,0.347585,1514.703946,12,1,6,0.161667,3
Australian_rules_football,Australian_rules_football,,14,25,39,14,25,39,7,0.319792,0.340119,2549.122229,12,1,6,0.114973,4
Drought,Drought,,53,15,68,53,15,68,7,0.303989,0.322273,5058.004029,7,1,6,0.060021,5
Irish_people,Irish_people,,43,79,122,43,79,122,6,0.362807,0.39496,46770.033712,0,1,6,0.087142,5
Manufacturing,Manufacturing,,59,21,80,59,21,80,6,0.325779,0.34734,5498.245791,13,1,6,0.065789,10
